Lead ID,Budget ($),Designation,Person Name,Number of People to Hire,Revenue ($),Company Name,Company Image URL,Timeline (weeks)
1,82585,Clinical molecular geneticist,Katherine Rowland,28,49553429,Parks Group,https://dummyimage.com/640x480,4
2,178103,Acupuncturist,Sherry Key,20,18883569,Reilly-Mullins,https://www.lorempixel.com/640/480,12
3,66989,Risk manager,William Payne Jr.,12,32065020,"Gibson, Martinez and Thomas",https://placekitten.com/640/480,14
4,14737,Systems analyst,Michael Case,45,4847813,Davenport LLC,https://dummyimage.com/640x480,6
5,60257,Industrial/product designer,Ashley Bradley,21,29267574,"Davis, Davies and Roberson",https://www.lorempixel.com/640/480,6
6,91563,Contracting civil engineer,Jessica Larsen,30,13280865,Garner-Mcbride,https://www.lorempixel.com/640/480,9
7,20015,"Administrator, Civil Service",Scott Aguirre PhD,49,38638436,"Washington, Nelson and Byrd",https://www.lorempixel.com/640/480,5
8,69991,Geoscientist,Carlos Lane,10,28025865,Davis Ltd,https://placekitten.com/640/480,7
9,46965,Passenger transport manager,Matthew Soto,5,23188782,"Stewart, Boyle and Weber",https://placeimg.com/640/480/any,13
10,156167,"Horticulturist, amenity",Jessica Rodriguez,37,24363228,Duke and Sons,https://www.lorempixel.com/640/480,1
11,156125,Sports development officer,Kimberly Simpson,8,767743,"Dunn, Gould and Arnold",https://dummyimage.com/640x480,8
12,124776,Claims inspector/assessor,Amy Soto,30,2696333,Savage-Jones,https://placekitten.com/640/480,2
13,172591,Copy,Susan Smith,17,43660269,Montgomery-Murray,https://placekitten.com/640/480,4
14,73386,"Engineer, land",Rachel Ruiz,3,33260855,Fischer and Sons,https://www.lorempixel.com/640/480,10
15,137583,Insurance account manager,William Martinez,21,41339544,"Shelton, Gray and Cooper",https://www.lorempixel.com/640/480,7
16,118702,Civil Service fast streamer,Danielle Potter,16,32227188,Garrison-Campbell,https://placeimg.com/640/480/any,12
17,62337,Broadcast engineer,Adrian Brown,32,28065197,Olson-Costa,https://dummyimage.com/640x480,6
18,164135,Commercial horticulturist,Michelle Jones,27,2476971,"Garcia, Santos and Nash",https://www.lorempixel.com/640/480,4
19,22573,Early years teacher,Sandra Thomas,6,10511971,Lee and Sons,https://dummyimage.com/640x480,8
20,27248,"Production assistant, television",Mary Fischer,42,29889945,Hardy Inc,https://dummyimage.com/640x480,14
21,116550,Equality and diversity officer,Christopher Cowan,16,39362123,"Park, Montgomery and Zamora",https://placeimg.com/640/480/any,13
22,129359,Advertising account executive,Brian Hale,45,47392372,Bright LLC,https://www.lorempixel.com/640/480,16
23,102192,"Designer, interior/spatial",Heather Flores,3,29139184,Fowler Group,https://dummyimage.com/640x480,15
24,26941,Astronomer,Melissa Sanchez,40,15098108,Gonzalez PLC,https://dummyimage.com/640x480,13
25,88554,Medical laboratory scientific officer,Sherry Edwards,20,30148079,"Simon, Johnson and Johnson",https://dummyimage.com/640x480,12
26,154160,Magazine journalist,Darren Smith,40,37420360,"Jackson, Palmer and Sanders",https://placeimg.com/640/480/any,7
